-----------------------------------------------------
| DataSource          0GL_ACCOUNT_T011_HIER         |
| Struktur            ROSFOLDERT                    |
-----------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|La|InfoObject(IOBJNM)            |Node name(NODENAME)             |Descript.(TXTSH)    |Descript.(TXTMD)                        |Descript.(TXTLG)                                            |
|EN|0HIER_NODE                    |GKR 3061010                     |Fertigungs-Loehne   |Fertigungs-Loehne                       |Fertigungs-Loehne                                           |
|EN|0HIER_NODE                    |GKR 3061020                     |Hilfs- und Ausfall-L|Hilfs- und Ausfall-Loehne               |Hilfs- und Ausfall-Loehne                                   |
|EN|0HIER_NODE                    |GKR 3061030                     |Krankheits-Loehne un|Krankheits-Loehne und Lohnfortzahlung   |Krankheits-Loehne und Lohnfortzahlung                       |
|EN|0HIER_NODE                    |GKR 3061050                     |Gehaelter           |Gehaelter                               |Gehaelter                                                   |
|EN|0HIER_NODE                    |GKR 3061090                     |Sonstige Lohn- und G|Sonstige Lohn- und Gehalts-Aufwendungen |Sonstige Lohn- und Gehalts-Aufwendungen                     |
|EN|0HIER_NODE                    |GKR 3062000                     |Soziale Abgaben und |Soziale Abgaben und Aufwendungen fuer   |Soziale Abgaben und Aufwendungen fuer                       |
|EN|0HIER_NODE                    |GKR 3062010                     |Soziale Abgaben     |Soziale Abgaben                         |Soziale Abgaben                                             |
|EN|0HIER_NODE                    |GKR 3062020                     |Aufwendungen fuer Al|Aufwendungen fuer Altersversorgung      |Aufwendungen fuer Altersversorgung                          |
|EN|0HIER_NODE                    |GKR 3062030                     |Aufwendungen fuer Un|Aufwendungen fuer Unterstuetzung        |Aufwendungen fuer Unterstuetzung                            |
|EN|0HIER_NODE                    |GKR 3070000                     |Abschreibungen      |Abschreibungen                          |Abschreibungen                                              |
|EN|0HIER_NODE                    |GKR 3071000                     |AfA auf immaterielle|AfA auf immaterielle Vermoegens-Gegensta|AfA auf immaterielle Vermoegens-Gegenstaende                |
|EN|0HIER_NODE                    |GKR 3071010                     |planmaessig         |planmaessig                             |planmaessig                                                 |
|EN|0HIER_NODE                    |GKR 3071020                     |ausserplanmaessig   |ausserplanmaessig                       |ausserplanmaessig                                           |
|EN|0HIER_NODE                    |GKR 3072000                     |Abschreibungen auf V|Abschreibungen auf Vermoegens-Gegenstaen|Abschreibungen auf Vermoegens-Gegenstaende                  |
|EN|0HIER_NODE                    |GKR 3073000                     |Abschreibungen auf V|Abschreibungen auf Vermoegens-Gegenstaen|Abschreibungen auf Vermoegens-Gegenstaende                  |
|EN|0HIER_NODE                    |GKR 3080000                     |Sonstige betrieblich|Sonstige betriebliche Aufwendungen      |Sonstige betriebliche Aufwendungen                          |
|EN|0HIER_NODE                    |GKR 3081000                     |Aufwand aus der Eins|Aufwand aus der Einstellung in den      |Aufwand aus der Einstellung in den                          |
|EN|0HIER_NODE                    |GKR 3082000                     |Uebrige sonstige bet|Uebrige sonstige betriebliche Aufwendung|Uebrige sonstige betriebliche Aufwendungen                  |
|EN|0HIER_NODE                    |GKR 3082010                     |Instandhaltungskoste|Instandhaltungskosten                   |Instandhaltungskosten                                       |
|EN|0HIER_NODE                    |GKR 3082020                     |Versicherungen      |Versicherungen                          |Versicherungen                                              |
|EN|0HIER_NODE                    |GKR 3082030                     |Raumkosten          |Raumkosten                              |Raumkosten                                                  |
|EN|0HIER_NODE                    |GKR 3082040                     |Maschinen-Mieten    |Maschinen-Mieten                        |Maschinen-Mieten                                            |
|EN|0HIER_NODE                    |GKR 3082050                     |Reisekosten         |Reisekosten                             |Reisekosten                                                 |
|EN|0HIER_NODE                    |GKR 3082060                     |Kraftfahrzeugkosten |Kraftfahrzeugkosten                     |Kraftfahrzeugkosten                                         |
|EN|0HIER_NODE                    |GKR 3082070                     |Werbe- und Vertreter|Werbe- und Vertreterkosten              |Werbe- und Vertreterkosten                                  |
|EN|0HIER_NODE                    |GKR 3082090                     |Sonstige betrieblich|Sonstige betriebliche Aufwendungen      |Sonstige betriebliche Aufwendungen                          |
|EN|0HIER_NODE                    |GKR 4000000                     |Finanz-Ergebnis     |Finanz-Ergebnis                         |Finanz-Ergebnis                                             |
|EN|0HIER_NODE                    |GKR 4011000                     |Ertraege aus Beteili|Ertraege aus Beteiligungen              |Ertraege aus Beteiligungen                                  |
|EN|0HIER_NODE                    |GKR 4011010                     |bei nicht verbundene|bei nicht verbundenen Unternehmen       |bei nicht verbundenen Unternehmen                           |
|EN|0HIER_NODE                    |GKR 4011020                     |bei verbundenen Unte|bei verbundenen Unternehmen             |bei verbundenen Unternehmen                                 |
|EN|0HIER_NODE                    |GKR 4012000                     |Aufgrund eines Gewin|Aufgrund eines Gewinnabfuehrungs-Vetrage|Aufgrund eines Gewinnabfuehrungs-Vetrages                   |
|EN|0HIER_NODE                    |GKR 4013000                     |Ertraege aus anderen|Ertraege aus anderen Wertpapieren und   |Ertraege aus anderen Wertpapieren und                       |
|EN|0HIER_NODE                    |GKR 4013010                     |aus nicht verbundene|aus nicht verbundenen Unternehmen       |aus nicht verbundenen Unternehmen                           |
|EN|0HIER_NODE                    |GKR 4013020                     |aus verbundenen Unte|aus verbundenen Unternehmen             |aus verbundenen Unternehmen                                 |
|EN|0HIER_NODE                    |GKR 4014000                     |Sonstige Zinsen und |Sonstige Zinsen und aehnliche Ertraege  |Sonstige Zinsen und aehnliche Ertraege                      |
|EN|0HIER_NODE                    |GKR 4014010                     |aus nicht verbundene|aus nicht verbundenen Unternehmen       |aus nicht verbundenen Unternehmen                           |
|EN|0HIER_NODE                    |GKR 4014020                     |aus verbundenen Unte|aus verbundenen Unternehmen             |aus verbundenen Unternehmen                                 |
|EN|0HIER_NODE                    |GKR 4015000                     |Abschreibungen auf F|Abschreibungen auf Finanzanlagen und auf|Abschreibungen auf Finanzanlagen und auf                    |
|EN|0HIER_NODE                    |GKR 4015010                     |Ausserplanmaessige A|Ausserplanmaessige AfA auf Finanz-Anlage|Ausserplanmaessige AfA auf Finanz-Anlagen                   |
|EN|0HIER_NODE                    |GKR 4015020                     |Abschreibung auf Wer|Abschreibung auf Wertpapiere des Umlauf-|Abschreibung auf Wertpapiere des Umlauf-                    |
|EN|0HIER_NODE                    |GKR 4015030                     |Andere Abschreibunge|Andere Abschreibungen auf Finanzanlagen |Andere Abschreibungen auf Finanzanlagen und                 |
|EN|0HIER_NODE                    |GKR 4016000                     |Aufwendungen aus Ver|Aufwendungen aus Verlust-Uebernahme     |Aufwendungen aus Verlust-Uebernahme                         |
|EN|0HIER_NODE                    |GKR 4017000                     |Zinsen und aehnliche|Zinsen und aehnliche Aufwendungen       |Zinsen und aehnliche Aufwendungen                           |
|EN|0HIER_NODE                    |GKR 4017010                     |an nicht verbundene |an nicht verbundene Unternehmen         |an nicht verbundene Unternehmen                             |
|EN|0HIER_NODE                    |GKR 4017020                     |an verbundene Untern|an verbundene Unternehmen               |an verbundene Unternehmen                                   |
|EN|0HIER_NODE                    |GKR 41                          |Gemeinkostenmaterial|Gemeinkostenmaterial                    |Gemeinkostenmaterial                                        |
|EN|0HIER_NODE                    |GKR 42                          |Energie             |Energie                                 |Energie                                                     |
|EN|0HIER_NODE                    |GKR 43                          |Löhne u. Gehälter   |Löhne u. Gehälter                       |Löhne u. Gehälter                                           |
|EN|0HIER_NODE                    |GKR 44                          |Sozialkosten        |Sozialkosten                            |Sozialkosten                                                |
|EN|0HIER_NODE                    |GKR 45                          |Instandhaltung      |Instandhaltung                          |Instandhaltung                                              |
|EN|0HIER_NODE                    |GKR 46                          |Steuern u. Gebühren |Steuern u. Gebühren                     |Steuern u. Gebühren                                         |
|EN|0HIER_NODE                    |GKR 47                          |Mieten und Werbekost|Mieten und Werbekosten                  |Mieten und Werbekosten                                      |
|EN|0HIER_NODE                    |GKR 48                          |Kalk. Kosten (AfA)  |Kalk. Kosten (AfA)                      |Kalk. Kosten (AfA)                                          |
|EN|0HIER_NODE                    |GKR 49                          |Sondereinzelkosten  |Sondereinzelkosten                      |Sondereinzelkosten                                          |
|EN|0HIER_NODE                    |GKR 5000000                     |Ausserordentliches E|Ausserordentliches Ergebnis             |Ausserordentliches Ergebnis                                 |
|EN|0HIER_NODE                    |GKR 5011000                     |Ausserordentliche Er|Ausserordentliche Ertraege              |Ausserordentliche Ertraege                                  |
|EN|0HIER_NODE                    |GKR 5012000                     |Ausserordentliche Au|Ausserordentliche Aufwendungen          |Ausserordentliche Aufwendungen                              |
|EN|0HIER_NODE                    |GKR 6000000                     |Steuern             |Steuern                                 |Steuern                                                     |
|EN|0HIER_NODE                    |GKR 6011000                     |Steuern vom Einkomme|Steuern vom Einkommen und vom Ertrag    |Steuern vom Einkommen und vom Ertrag                        |
|EN|0HIER_NODE                    |GKR 6012000                     |Sonstige Steuern    |Sonstige Steuern                        |Sonstige Steuern                                            |
|EN|0HIER_NODE                    |GKR 7000000                     |Ergebnis-Verwendung |Ergebnis-Verwendung                     |Ergebnis-Verwendung                                         |
|EN|0HIER_NODE                    |GKR 7010000                     |Dummyknoten         |Dummyknoten                             |Dummyknoten                                                 |
|EN|0HIER_NODE                    |GKR 7011000                     |Auf Grund eines Gewi|Auf Grund eines Gewinnabfuehrungs-Vetrag|Auf Grund eines Gewinnabfuehrungs-Vetrages                  |
|EN|0HIER_NODE                    |GKR 7012000                     |Ertraege aus Verlust|Ertraege aus Verlust-Uebernahme         |Ertraege aus Verlust-Uebernahme                             |
|EN|0HIER_NODE                    |GKR 7040000                     |Verlust-Vortrag aus |Verlust-Vortrag aus dem Vorjahr         |Verlust-Vortrag aus dem Vorjahr                             |
|EN|0HIER_NODE                    |GKR 7050000                     |Gewinn-Vortrag aus d|Gewinn-Vortrag aus dem Vorjahr          |Gewinn-Vortrag aus dem Vorjahr                              |
|EN|0HIER_NODE                    |GKR 7060000                     |Entnahmen aus der Ka|Entnahmen aus der Kapital-Ruecklage     |Entnahmen aus der Kapital-Ruecklage                         |
|EN|0HIER_NODE                    |GKR 7070000                     |Entnahmen aus Gewinn|Entnahmen aus Gewinn-Ruecklagen         |Entnahmen aus Gewinn-Ruecklagen                             |
|EN|0HIER_NODE                    |GKR 7080000                     |Einstellungen in Gew|Einstellungen in Gewinn-Ruecklagen      |Einstellungen in Gewinn-Ruecklagen                          |
|EN|0HIER_NODE                    |GKR 7090000                     |Gewinn aus GuV      |Gewinn aus GuV                          |Gewinn aus GuV                                              |
|EN|0HIER_NODE                    |GKR 8000000                     |Nicht zugeordnete Ko|Nicht zugeordnete Konten                |Nicht zugeordnete Konten                                    |
|EN|0HIER_NODE                    |GKR 9000000                     |Anhang              |Anhang                                  |Anhang                                                      |
|EN|0HIER_NODE                    |GKR 9010000                     |Haftungs-Verhältniss|Haftungs-Verhältnisse                   |Haftungs-Verhältnisse                                       |
|EN|0HIER_NODE                    |GKR 9011000                     |Haftungs-Verhältniss|Haftungs-Verhältnisse                   |Haftungs-Verhältnisse                                       |
|EN|0HIER_NODE                    |GKR 9012000                     |Ausgleichs-Posten fu|Ausgleichs-Posten fuer Haftungs-Verhaelt|Ausgleichs-Posten fuer Haftungs-Verhaeltnisse               |
|EN|0HIER_NODE                    |GKR 9020000                     |Verrechnung kalkulat|Verrechnung kalkulatorische Kosten      |Verrechnung kalkulatorische Kosten                          |
|EN|0HIER_NODE                    |GKR 9030000                     |Verrechnung Wechsel-|Verrechnung Wechsel-Inkasso             |Verrechnung Wechsel-Inkasso                                 |
|EN|0HIER_NODE                    |GKR 9050000                     |Verrechnung Anlagen-|Verrechnung Anlagen-Abgang (RA)         |Verrechnung Anlagen-Abgang (RA)                             |
|EN|0HIER_NODE                    |GKR 9060000                     |Verrechnung WE/RE (R|Verrechnung WE/RE (RM)                  |Verrechnung WE/RE (RM)                                      |
|EN|0HIER_NODE                    |GKR 9070000                     |Verrechnung Debitore|Verrechnung Debitoren-Geldeingang       |Verrechnung Debitoren-Geldeingang                           |
|EN|0HIER_NODE                    |GKR 9080000                     |Verrechnung Konzerna|Verrechnung Konzernabschluss-Konten     |Verrechnung Konzernabschluss-Konten                         |
|EN|0HIER_NODE                    |GKR 9130000                     |Konten, die Saldo Nu|Konten, die Saldo Null ausweisen muessen|Konten, die Saldo Null ausweisen muessen                    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
